 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031229E-01  9.88366834E-01  2.50000000E-02  1.18389265E-10 -1.33857561E-10 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420290E-01  9.88366834E-01  2.50000000E-02  4.37430964E-10 -2.02641747E-10 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366834E-01  2.50000000E-02  6.85433689E-10 -1.35520486E-12 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217249E-01  9.88366834E-01  2.50000000E-02  1.89069774E-09  6.12710547E-10 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999838E-01  9.88366834E-01  2.50000000E-02  8.89562407E-10 -2.48005291E-12 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849219E-01  9.88366834E-01  2.50000000E-02  2.11266989E-09 -1.39317162E-09 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985381E-01  9.88366834E-01  2.50000000E-02  1.64432366E-09  4.88789574E-10 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074222E-01  9.88366834E-01  2.50000000E-02  2.36673229E-10  1.49422765E-09 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625778E-02  9.88366836E-01  2.50000000E-02 -3.64997827E-08  4.08986191E-09 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429668E-01  9.88366837E-01  2.50000000E-02 -2.49050959E-08  1.01186448E-08 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441328E-01  9.88366840E-01  2.50000000E-02 -1.06772521E-08 -1.86230786E-09 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366838E-01  2.50000000E-02 -6.19382681E-09 -1.82117573E-09 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678920E-01  9.88366838E-01  2.50000000E-02 -5.12663851E-09  7.60966307E-11 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366839E-01  2.50000000E-02 -1.93110993E-09 -1.39513312E-09 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322777E-01  9.88366839E-01  2.50000000E-02  2.50049691E-09 -2.28187125E-09 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401036E+00  9.88366839E-01  2.50000000E-02  5.82451871E-09 -7.81317976E-10 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394081E-01  9.88366838E-01  2.50000000E-02  6.17489450E-09  3.33836227E-10 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437865E+00  9.88366838E-01  2.50000000E-02  4.04196324E-09  3.50141033E-10 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889866E+00  9.88366839E-01  2.50000000E-02  4.26443069E-09 -1.80789197E-10 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077144E-01  9.88366838E-01  2.50000000E-02  8.11942557E-09 -1.41423596E-10 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806422E+00  9.88366837E-01  2.50000000E-02  7.31780684E-09  8.60142245E-11 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280298E-01  9.88366838E-01  2.50000000E-02  6.12522064E-09  4.28417161E-10 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512633E+00  9.88366838E-01  2.50000000E-02  6.93502958E-09  4.02174649E-10 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765844E-01  9.88366837E-01  2.50000000E-02  1.33511630E-08  1.01012547E-09 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127209E+00  9.88366837E-01  2.50000000E-02  1.27495262E-08  2.70971896E-10 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129013E-01  9.88366837E-01  2.50000000E-02  1.15639274E-08  7.51012070E-10 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16530794E-01  9.88366836E-01  2.50000000E-02  5.14508019E-09 -8.36519811E-10 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52143156E-01  9.88366837E-01  2.50000000E-02  4.82263085E-09 -7.02250273E-10 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.37361663E+00  9.88366836E-01  2.50000000E-02  4.34193203E-09 -1.30844404E-10 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.22024422E+00  9.88366836E-01  2.50000000E-02  3.79485474E-09  6.31665410E-10 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  8.74588585E-01  9.88366836E-01  2.50000000E-02  3.48368599E-09  1.84016934E-10 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.19208302E+00  9.88366836E-01  2.50000000E-02  2.66556468E-09  8.72321289E-11 
