 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031230E-01  9.88366835E-01  2.50000000E-02  1.48932681E-11 -1.75997307E-11 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420292E-01  9.88366835E-01  2.50000000E-02  5.65811188E-11 -2.69925584E-11 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366835E-01  2.50000000E-02  8.88313579E-11 -1.99320469E-13 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217250E-01  9.88366835E-01  2.50000000E-02  2.36517491E-10  8.35453305E-11 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999839E-01  9.88366835E-01  2.50000000E-02  1.03928624E-10 -3.22945656E-13 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849220E-01  9.88366835E-01  2.50000000E-02  2.78307476E-10 -1.96126756E-10 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985382E-01  9.88366835E-01  2.50000000E-02  2.24257512E-10  6.42807825E-11 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074223E-01  9.88366835E-01  2.50000000E-02  3.66336768E-11  1.99783846E-10 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625778E-02  9.88366836E-01  2.50000000E-02 -4.83461040E-09  5.39024082E-10 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429667E-01  9.88366836E-01  2.50000000E-02 -3.29545136E-09  1.33730308E-09 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441324E-01  9.88366836E-01  2.50000000E-02 -1.41137940E-09 -2.47526612E-10 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366836E-01  2.50000000E-02 -8.17226284E-10 -2.41526492E-10 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678917E-01  9.88366836E-01  2.50000000E-02 -6.75647888E-10  1.02337081E-11 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366836E-01  2.50000000E-02 -2.50487801E-10 -1.86967763E-10 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322774E-01  9.88366836E-01  2.50000000E-02  3.36919491E-10 -3.01312752E-10 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401036E+00  9.88366836E-01  2.50000000E-02  7.76594529E-10 -1.04354307E-10 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394078E-01  9.88366836E-01  2.50000000E-02  8.28275467E-10  3.91155376E-11 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437865E+00  9.88366836E-01  2.50000000E-02  5.49458228E-10  4.40883914E-11 
