 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031222E-01  9.88366827E-01  2.50000000E-02  9.01201209E-10 -1.00807349E-09 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420283E-01  9.88366827E-01  2.50000000E-02  3.31221524E-09 -1.52431095E-09 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788165E+00  9.88366827E-01  2.50000000E-02  5.18864425E-09 -9.59765094E-12 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217239E-01  9.88366825E-01  2.50000000E-02  1.44208917E-08  4.58987437E-09 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999829E-01  9.88366825E-01  2.50000000E-02  6.88102111E-09 -1.87627332E-11 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849212E-01  9.88366827E-01  2.50000000E-02  1.59338376E-08 -1.03404579E-08 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985370E-01  9.88366823E-01  2.50000000E-02  1.23010010E-08  3.68878401E-09 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074211E-01  9.88366823E-01  2.50000000E-02  1.71036672E-09  1.12368531E-08 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625791E-02  9.88366837E-01  2.50000000E-02 -2.75106732E-07  3.08739676E-08 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429678E-01  9.88366846E-01  2.50000000E-02 -1.87771205E-07  7.63132570E-08 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441354E-01  9.88366866E-01  2.50000000E-02 -8.05061569E-08 -1.40340002E-08 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936182E+00  9.88366858E-01  2.50000000E-02 -4.67042966E-08 -1.37255917E-08 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678937E-01  9.88366856E-01  2.50000000E-02 -3.86449937E-08  5.71179971E-10 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748974E+00  9.88366862E-01  2.50000000E-02 -1.45771970E-08 -1.04928162E-08 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322800E-01  9.88366862E-01  2.50000000E-02  1.88313044E-08 -1.72191347E-08 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401039E+00  9.88366860E-01  2.50000000E-02  4.38986733E-08 -5.87972394E-09 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394100E-01  9.88366857E-01  2.50000000E-02  4.64828100E-08  2.56849562E-09 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437866E+00  9.88366854E-01  2.50000000E-02  3.03480211E-08  2.67219393E-09 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889868E+00  9.88366860E-01  2.50000000E-02  3.19891953E-08 -1.36317161E-09 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077160E-01  9.88366853E-01  2.50000000E-02  6.09914989E-08 -1.09175629E-09 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806423E+00  9.88366851E-01  2.50000000E-02  5.51504335E-08  5.84181308E-10 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280312E-01  9.88366852E-01  2.50000000E-02  4.61654474E-08  3.34548708E-09 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512635E+00  9.88366855E-01  2.50000000E-02  5.21764067E-08  3.00599551E-09 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765853E-01  9.88366846E-01  2.50000000E-02  1.00792589E-07  7.47000046E-09 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127210E+00  9.88366847E-01  2.50000000E-02  9.62371563E-08  2.08556010E-09 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129023E-01  9.88366847E-01  2.50000000E-02  8.66312564E-08  5.90809568E-09 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16530800E-01  9.88366842E-01  2.50000000E-02  3.85478228E-08 -6.30774577E-09 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52143164E-01  9.88366845E-01  2.50000000E-02  3.60861925E-08 -5.18835521E-09 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.37361664E+00  9.88366842E-01  2.50000000E-02  3.24266098E-08 -9.62441650E-10 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.22024422E+00  9.88366843E-01  2.50000000E-02  2.84010433E-08  4.65475750E-09 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  8.74588592E-01  9.88366843E-01  2.50000000E-02  2.61778279E-08  1.39577076E-09 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.19208303E+00  9.88366842E-01  2.50000000E-02  2.00222067E-08  6.61947259E-10 
      33  8.12500000E+02  1.25000000E+01 -8.01970376E-01  1.79033722E+00  9.88366842E-01  2.50000000E-02  1.43277565E-08  1.62100639E-09 
      34  8.37500000E+02  1.25000000E+01 -2.45458514E-01  1.23382536E+00  9.88366843E-01  2.50000000E-02  1.17552472E-08  4.39377784E-09 
      35  8.62500000E+02  1.25000000E+01  6.55172082E-01  3.33194760E-01  9.88366843E-01  2.50000000E-02  8.87119824E-09  2.73672877E-09 
      36  8.87500000E+02  1.25000000E+01 -7.59466771E-01  1.74783361E+00  9.88366843E-01  2.50000000E-02  2.59704377E-09 -2.33154891E-11 
      37  9.12500000E+02  1.25000000E+01 -1.48571111E-01  1.13693795E+00  9.88366843E-01  2.50000000E-02  1.57802758E-09  4.94790080E-10 
      38  9.37500000E+02  1.25000000E+01 -9.38289085E-01  1.92665593E+00  9.88366843E-01  2.50000000E-02  1.37262360E-09  5.88723745E-11 
      39  9.62500000E+02  1.25000000E+01  6.10300161E-01  3.78066681E-01  9.88366843E-01  2.50000000E-02  1.68951247E-09  9.28164041E-10 
      40  9.87500000E+02  1.25000000E+01 -2.47851854E-01  1.23621870E+00  9.88366843E-01  2.50000000E-02  1.29907211E-10  1.78958364E-10 
      41  1.25000000E+01  3.75000000E+01 -5.98248598E-03  9.94349313E-01  9.88366827E-01  2.50000000E-02  1.03080624E-09 -2.91669808E-09 
      42  3.75000000E+01  3.75000000E+01 -2.67561176E-01  1.25592800E+00  9.88366827E-01  2.50000000E-02  3.55502038E-09 -4.47449675E-09 
      43  6.25000000E+01  3.75000000E+01 -5.60496726E-01  1.54886355E+00  9.88366827E-01  2.50000000E-02  6.15308392E-09 -4.65453404E-11 
      44  8.75000000E+01  3.75000000E+01  6.36443375E-01  3.51923451E-01  9.88366825E-01  2.50000000E-02  1.64353095E-08  1.88363741E-08 
      45  1.12500000E+02  3.75000000E+01  9.86166516E-01  2.20031242E-03  9.88366828E-01  2.50000000E-02 -3.44338559E-07 -1.16175034E-07 
      46  1.37500000E+02  3.75000000E+01 -5.10431734E-01  1.49879857E+00  9.88366835E-01  2.50000000E-02 -1.55942539E-08  8.53608896E-09 
      47  1.62500000E+02  3.75000000E+01 -4.55747954E-01  1.44411478E+00  9.88366828E-01  2.50000000E-02 -3.31190659E-08  3.04268883E-08 
      48  1.87500000E+02  3.75000000E+01 -9.26617771E-01  1.91498460E+00  9.88366827E-01  2.50000000E-02 -7.16573875E-08  4.75469701E-08 
      49  2.12500000E+02  3.75000000E+01 -6.05654847E-01  1.59402168E+00  9.88366832E-01  2.50000000E-02 -9.51030036E-08  9.41802871E-09 
      50  2.37500000E+02  3.75000000E+01 -4.45395756E-01  1.43376258E+00  9.88366827E-01  2.50000000E-02 -1.18393916E-07  1.35848963E-07 
      51  2.62500000E+02  3.75000000E+01  6.78131645E-01  3.10235223E-01  9.88366868E-01  2.50000000E-02 -2.21116074E-07 -1.52019734E-07 
      52  2.87500000E+02  3.75000000E+01  4.31827320E-01  5.56539537E-01  9.88366856E-01  2.50000000E-02 -1.56634105E-07 -8.92733877E-08 
      53  3.12500000E+02  3.75000000E+01  9.58920598E-01  2.94462547E-02  9.88366853E-01  2.50000000E-02 -8.57220701E-08  4.53827762E-08 
      54  3.37500000E+02  3.75000000E+01 -1.43604037E-01  1.13197090E+00  9.88366859E-01  2.50000000E-02  3.52309849E-08 -3.98835733E-08 
      55  3.62500000E+02  3.75000000E+01 -7.98346345E-01  1.78671321E+00  9.88366864E-01  2.50000000E-02  4.98632843E-08 -4.59688786E-08 
      56  3.87500000E+02  3.75000000E+01 -7.61416868E-01  1.74978373E+00  9.88366861E-01  2.50000000E-02  5.75254538E-08 -1.44929856E-08 
      57  4.12500000E+02  3.75000000E+01 -7.32299337E-01  1.72066620E+00  9.88366862E-01  2.50000000E-02  5.97596457E-08  2.13981309E-08 
      58  4.37500000E+02  3.75000000E+01  4.06542981E-03  9.84301429E-01  9.88366859E-01  2.50000000E-02  5.98752917E-08  2.89590759E-08 
      59  4.62500000E+02  3.75000000E+01  5.23048454E-01  4.65318410E-01  9.88366864E-01  2.50000000E-02  5.40699259E-08 -7.63617810E-09 
      60  4.87500000E+02  3.75000000E+01  8.70015014E-01  1.18351842E-01  9.88366856E-01  2.50000000E-02  1.01127943E-07 -4.79424484E-09 
      61  5.12500000E+02  3.75000000E+01  6.95774785E-02  9.18789371E-01  9.88366850E-01  2.50000000E-02  1.98874124E-08 -4.34118661E-10 
      62  5.37500000E+02  3.75000000E+01 -2.62874281E-01  1.25124113E+00  9.88366851E-01  2.50000000E-02  1.75537660E-08  7.80650225E-09 
      63  5.62500000E+02  3.75000000E+01  2.57640648E-02  9.62602789E-01  9.88366853E-01  2.50000000E-02  2.69498654E-08  1.13093058E-08 
      64  5.87500000E+02  3.75000000E+01  5.75245284E-01  4.13121562E-01  9.88366846E-01  2.50000000E-02  4.86754191E-08  2.27722375E-08 
      65  6.12500000E+02  3.75000000E+01 -6.05455565E-01  1.59382241E+00  9.88366844E-01  2.50000000E-02  2.40787104E-08 -1.09778463E-09 
      66  6.37500000E+02  3.75000000E+01 -6.78783371E-01  1.66715022E+00  9.88366845E-01  2.50000000E-02  2.21240084E-08  2.11169692E-09 
      67  6.62500000E+02  3.75000000E+01 -9.13459003E-01  1.90182585E+00  9.88366844E-01  2.50000000E-02  2.09709295E-08 -1.05872186E-08 
      68  6.87500000E+02  3.75000000E+01 -6.50455217E-01  1.63882206E+00  9.88366846E-01  2.50000000E-02  2.22132128E-08 -1.01686248E-08 
      69  7.12500000E+02  3.75000000E+01  2.69543656E-01  7.18823188E-01  9.88366843E-01  2.50000000E-02  2.95842814E-08 -1.83936927E-09 
      70  7.37500000E+02  3.75000000E+01 -3.48170109E-01  1.33653695E+00  9.88366841E-01  2.50000000E-02  1.92340864E-08  8.65182785E-09 
      71  7.62500000E+02  3.75000000E+01 -8.77683744E-01  1.86605059E+00  9.88366842E-01  2.50000000E-02  1.47627006E-08  1.38224159E-09 
      72  7.87500000E+02  3.75000000E+01 -6.64986548E-01  1.65335339E+00  9.88366842E-01  2.50000000E-02  1.30848274E-08  2.29867320E-09 
      73  8.12500000E+02  3.75000000E+01 -8.83911452E-01  1.87227829E+00  9.88366843E-01  2.50000000E-02  1.17566306E-08  5.30896974E-09 
      74  8.37500000E+02  3.75000000E+01 -4.05378689E-01  1.39374553E+00  9.88366842E-01  2.50000000E-02  9.64538510E-09  1.00201765E-08 
      75  8.62500000E+02  3.75000000E+01 -9.46473242E-01  1.93484008E+00  9.88366842E-01  2.50000000E-02  6.60168726E-09  4.70539540E-09 
      76  8.87500000E+02  3.75000000E+01 -4.51688796E-02  1.03353572E+00  9.88366843E-01  2.50000000E-02  4.10601959E-09  6.12798580E-10 
      77  9.12500000E+02  3.75000000E+01  1.61625845E-01  8.26740998E-01  9.88366843E-01  2.50000000E-02  3.91242049E-09  3.11743802E-09 
      78  9.37500000E+02  3.75000000E+01  8.80252354E-01  1.08114488E-01  9.88366843E-01  2.50000000E-02  4.55771212E-09  6.35670495E-09 
      79  9.62500000E+02  3.75000000E+01 -4.78569655E-01  1.46693650E+00  9.88366842E-01  2.50000000E-02 -9.45932987E-11  2.29507541E-09 
      80  9.87500000E+02  3.75000000E+01 -4.41479578E-01  1.42984642E+00  9.88366843E-01  2.50000000E-02 -8.12059853E-11  4.15628330E-10 
      81  1.25000000E+01  6.25000000E+01 -2.22133777E-01  1.21050060E+00  9.88366827E-01  2.50000000E-02 -8.44600229E-10 -2.47263754E-09 
      82  3.75000000E+01  6.25000000E+01 -9.22805164E-01  1.91117199E+00  9.88366827E-01  2.50000000E-02 -2.20758370E-09 -5.54267581E-09 
      83  6.25000000E+01  6.25000000E+01  8.67690341E-01  1.20676487E-01  9.88366828E-01  2.50000000E-02 -2.66883004E-08  6.53912758E-09 
      84  8.75000000E+01  6.25000000E+01  5.96017279E-01  3.92349549E-01  9.88366828E-01  2.50000000E-02 -4.76878611E-08  3.93852242E-08 
      85  1.12500000E+02  6.25000000E+01  6.44978475E-01  3.43388353E-01  9.88366828E-01  2.50000000E-02 -5.03189456E-08 -4.08691575E-10 
      86  1.37500000E+02  6.25000000E+01  1.31753819E-01  8.56613013E-01  9.88366833E-01  2.50000000E-02 -2.69075889E-08  1.67950882E-08 
      87  1.62500000E+02  6.25000000E+01 -4.55407585E-01  1.44377441E+00  9.88366830E-01  2.50000000E-02 -2.44009781E-08  5.16861700E-08 
      88  1.87500000E+02  6.25000000E+01 -5.64947174E-01  1.55331400E+00  9.88366828E-01  2.50000000E-02 -3.14805692E-08  6.36138229E-08 
      89  2.12500000E+02  6.25000000E+01  3.81153889E-01  6.07212941E-01  9.88366830E-01  2.50000000E-02 -6.30910205E-08  1.74705568E-09 
      90  2.37500000E+02  6.25000000E+01  8.45212841E-01  1.43153999E-01  9.88366841E-01  2.50000000E-02 -1.76178831E-07  5.32408852E-08 
      91  2.62500000E+02  6.25000000E+01 -2.37008896E-01  1.22537576E+00  9.88366863E-01  2.50000000E-02 -1.44832708E-08 -3.06206384E-07 
      92  2.87500000E+02  6.25000000E+01 -1.01501098E-01  1.08986797E+00  9.88366868E-01  2.50000000E-02  1.89437380E-08 -1.20129248E-07 
      93  3.12500000E+02  6.25000000E+01 -3.41664032E-01  1.33003088E+00  9.88366853E-01  2.50000000E-02  2.14688923E-08  3.26362073E-08 
      94  3.37500000E+02  6.25000000E+01 -5.72670355E-01  1.56103722E+00  9.88366862E-01  2.50000000E-02  1.44793682E-08 -6.40845039E-08 
      95  3.62500000E+02  6.25000000E+01 -7.40812302E-01  1.72917916E+00  9.88366862E-01  2.50000000E-02  2.89841493E-08 -5.60347292E-08 
      96  3.87500000E+02  6.25000000E+01  1.39403546E-01  8.48963314E-01  9.88366860E-01  2.50000000E-02  5.58841107E-08 -3.17862786E-08 
      97  4.12500000E+02  6.25000000E+01 -3.42636639E-01  1.33100350E+00  9.88366858E-01  2.50000000E-02  6.74257878E-08  3.08073203E-08 
      98  4.37500000E+02  6.25000000E+01 -8.09230132E-01  1.79759699E+00  9.88366857E-01  2.50000000E-02  6.79817194E-08  6.66612287E-08 
      99  4.62500000E+02  6.25000000E+01  8.36185138E-01  1.52181722E-01  9.88366860E-01  2.50000000E-02  6.30570105E-08  1.50035280E-08 
     100  4.87500000E+02  6.25000000E+01 -7.66004509E-01  1.75437136E+00  9.88366852E-01  2.50000000E-02  1.46401430E-08 -1.68819751E-08 
     101  5.12500000E+02  6.25000000E+01 -8.56193929E-01  1.84456078E+00  9.88366853E-01  2.50000000E-02  1.40831839E-08  6.22176524E-09 
