 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031230E-01  9.88366836E-01  2.50000000E-02  1.47420238E-12 -2.22600864E-12 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420292E-01  9.88366836E-01  2.50000000E-02  6.58918415E-12 -3.62708997E-12 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366836E-01  2.50000000E-02  1.04513644E-11 -3.79369448E-14 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217250E-01  9.88366836E-01  2.50000000E-02  2.25796154E-11  1.23751311E-11 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999840E-01  9.88366836E-01  2.50000000E-02  5.23028252E-12 -3.88608647E-14 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849220E-01  9.88366836E-01  2.50000000E-02  3.54955496E-11 -3.26504260E-11 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985383E-01  9.88366836E-01  2.50000000E-02  3.32290325E-11  8.13448439E-12 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074224E-01  9.88366836E-01  2.50000000E-02  7.95956756E-12  2.72802232E-11 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625779E-02  9.88366836E-01  2.50000000E-02 -6.33282052E-10  6.89734004E-11 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429667E-01  9.88366836E-01  2.50000000E-02 -4.29658635E-10  1.73392778E-10 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441324E-01  9.88366836E-01  2.50000000E-02 -1.83142453E-10 -3.29419701E-11 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366836E-01  2.50000000E-02 -1.05131286E-10 -3.18182514E-11 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678917E-01  9.88366836E-01  2.50000000E-02 -8.64529672E-11  1.43345154E-12 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366836E-01  2.50000000E-02 -2.96268010E-11 -2.57971458E-11 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322773E-01  9.88366836E-01  2.50000000E-02  4.75714181E-11 -3.89131790E-11 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401036E+00  9.88366836E-01  2.50000000E-02  1.04806136E-10 -1.41913928E-11 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394078E-01  9.88366836E-01  2.50000000E-02  1.14770206E-10  2.03166482E-12 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437865E+00  9.88366836E-01  2.50000000E-02  8.04927423E-11  4.38980332E-12 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889865E+00  9.88366836E-01  2.50000000E-02  8.67859113E-11 -3.28715837E-12 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077142E-01  9.88366836E-01  2.50000000E-02  1.63291405E-10 -3.24265771E-12 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806422E+00  9.88366836E-01  2.50000000E-02  1.48266065E-10  1.02719559E-12 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280296E-01  9.88366836E-01  2.50000000E-02  1.24799169E-10  8.56165400E-12 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512633E+00  9.88366836E-01  2.50000000E-02  1.40787546E-10  8.10073108E-12 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765843E-01  9.88366836E-01  2.50000000E-02  2.70518535E-10  1.89742309E-11 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127208E+00  9.88366836E-01  2.50000000E-02  2.58440866E-10  5.23433906E-12 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129012E-01  9.88366836E-01  2.50000000E-02  2.36526403E-10  1.33388889E-11 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16530794E-01  9.88366836E-01  2.50000000E-02  1.06517424E-10 -1.81572542E-11 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52143155E-01  9.88366836E-01  2.50000000E-02  1.00118216E-10 -1.48754883E-11 
