 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
      42  3.75000000E+01  3.75000000E+01 -2.67561176E-01  1.25592801E+00  9.88366836E-01  2.50000000E-02  7.49676021E-15 -1.38599636E-13 
      43  6.25000000E+01  3.75000000E+01 -5.60496726E-01  1.54886356E+00  9.88366836E-01  2.50000000E-02  5.19814357E-14 -2.00712327E-14 
      44  8.75000000E+01  3.75000000E+01  6.36443375E-01  3.51923461E-01  9.88366836E-01  2.50000000E-02  4.34845063E-14  2.94069485E-13 
      45  1.12500000E+02  3.75000000E+01  9.86166516E-01  2.20032012E-03  9.88366836E-01  2.50000000E-02 -1.15167357E-11 -8.56286129E-12 
      46  1.37500000E+02  3.75000000E+01 -5.10431734E-01  1.49879857E+00  9.88366836E-01  2.50000000E-02  3.24504205E-12 -6.46020415E-12 
      47  1.62500000E+02  3.75000000E+01 -4.55747954E-01  1.44411479E+00  9.88366836E-01  2.50000000E-02  3.03430209E-12  1.06150563E-13 
      48  1.87500000E+02  3.75000000E+01 -9.26617771E-01  1.91498461E+00  9.88366836E-01  2.50000000E-02  2.38881998E-12  6.06674689E-13 
      49  2.12500000E+02  3.75000000E+01 -6.05654847E-01  1.59402168E+00  9.88366836E-01  2.50000000E-02  1.78652919E-12  1.35699776E-12 
      50  2.37500000E+02  3.75000000E+01 -4.45395756E-01  1.43376259E+00  9.88366836E-01  2.50000000E-02  1.70362049E-12 -1.71263711E-12 
      51  2.62500000E+02  3.75000000E+01  6.78131645E-01  3.10235191E-01  9.88366836E-01  2.50000000E-02  2.99733346E-12  1.26220758E-13 
      52  2.87500000E+02  3.75000000E+01  4.31827320E-01  5.56539516E-01  9.88366836E-01  2.50000000E-02  2.48229229E-12  7.09780910E-13 
      53  3.12500000E+02  3.75000000E+01  9.58920598E-01  2.94462374E-02  9.88366836E-01  2.50000000E-02 -3.27100368E-13  2.79815457E-12 
      54  3.37500000E+02  3.75000000E+01 -1.43604037E-01  1.13197087E+00  9.88366836E-01  2.50000000E-02 -6.95734290E-13 -2.85520423E-13 
      55  3.62500000E+02  3.75000000E+01 -7.98346345E-01  1.78671318E+00  9.88366836E-01  2.50000000E-02 -1.33885158E-12  1.24165928E-12 
      56  3.87500000E+02  3.75000000E+01 -7.61416868E-01  1.74978370E+00  9.88366836E-01  2.50000000E-02 -1.82653416E-12 -1.42912457E-13 
      57  4.12500000E+02  3.75000000E+01 -7.32299337E-01  1.72066617E+00  9.88366836E-01  2.50000000E-02 -1.69234686E-12 -2.62458021E-12 
      58  4.37500000E+02  3.75000000E+01  4.06542981E-03  9.84301406E-01  9.88366836E-01  2.50000000E-02 -9.24615709E-13 -1.62384915E-12 
