 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031230E-01  9.88366836E-01  2.50000000E-02 -2.36607978E-13  1.69937868E-14 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420292E-01  9.88366836E-01  2.50000000E-02 -3.64821612E-13 -8.77402921E-14 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366836E-01  2.50000000E-02 -5.15265495E-13 -6.71492474E-15 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217250E-01  9.88366836E-01  2.50000000E-02 -4.20599015E-12  8.83359703E-13 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999840E-01  9.88366836E-01  2.50000000E-02 -4.38301769E-12  1.30607936E-15 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849220E-01  9.88366836E-01  2.50000000E-02 -1.47162335E-13 -4.02264912E-12 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985383E-01  9.88366836E-01  2.50000000E-02  2.37600854E-12 -6.76588108E-14 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074224E-01  9.88366836E-01  2.50000000E-02  1.74524769E-12  8.71893257E-13 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625780E-02  9.88366836E-01  2.50000000E-02 -6.76853462E-12 -1.38053004E-13 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429667E-01  9.88366836E-01  2.50000000E-02 -3.53314737E-12  9.11828587E-13 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441324E-01  9.88366836E-01  2.50000000E-02 -1.04789400E-12 -6.23697369E-13 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366836E-01  2.50000000E-02 -1.22847043E-13 -4.34485836E-13 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678917E-01  9.88366836E-01  2.50000000E-02  1.34454119E-13  6.42378209E-14 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366836E-01  2.50000000E-02  1.33957172E-12 -9.64403867E-13 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322773E-01  9.88366836E-01  2.50000000E-02  2.29714552E-12 -1.21878712E-13 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401036E+00  9.88366836E-01  2.50000000E-02  2.72217242E-12 -4.27821075E-13 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394078E-01  9.88366836E-01  2.50000000E-02  4.52515606E-12 -1.61881160E-12 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437865E+00  9.88366836E-01  2.50000000E-02  5.36119527E-12 -6.91985611E-13 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889865E+00  9.88366836E-01  2.50000000E-02  6.49208326E-12 -1.00804362E-13 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077142E-01  9.88366836E-01  2.50000000E-02  1.14944266E-11 -3.79688200E-13 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806422E+00  9.88366836E-01  2.50000000E-02  1.08590566E-11 -1.96632372E-13 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280297E-01  9.88366836E-01  2.50000000E-02  9.39548797E-12  5.96547468E-13 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512633E+00  9.88366836E-01  2.50000000E-02  1.03922866E-11  5.72732933E-13 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765843E-01  9.88366836E-01  2.50000000E-02  1.97916874E-11  8.28223687E-13 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127208E+00  9.88366836E-01  2.50000000E-02  1.89051089E-11  2.91367646E-13 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129012E-01  9.88366836E-01  2.50000000E-02  1.80579229E-11  2.86299573E-13 
