 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031230E-01  9.88366836E-01  2.50000000E-02 -1.27361208E-13 -2.25338111E-13 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420292E-01  9.88366836E-01  2.50000000E-02  2.83371454E-13 -5.10721138E-13 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366836E-01  2.50000000E-02  5.26779887E-13 -1.23231696E-14 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217250E-01  9.88366836E-01  2.50000000E-02 -2.67202537E-12  2.46610548E-12 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999840E-01  9.88366836E-01  2.50000000E-02 -4.81548063E-12 -2.54744769E-15 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849220E-01  9.88366836E-01  2.50000000E-02  3.77156767E-12 -8.58608849E-12 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985383E-01  9.88366836E-01  2.50000000E-02  6.62677131E-12  8.22052112E-13 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074224E-01  9.88366836E-01  2.50000000E-02  3.03978466E-12  4.10779238E-12 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625779E-02  9.88366836E-01  2.50000000E-02 -7.86920061E-11  7.49878372E-12 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429667E-01  9.88366836E-01  2.50000000E-02 -5.20835837E-11  2.03865572E-11 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441324E-01  9.88366836E-01  2.50000000E-02 -2.16339613E-11 -4.42909428E-12 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366836E-01  2.50000000E-02 -1.18245919E-11 -4.07010355E-12 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678917E-01  9.88366836E-01  2.50000000E-02 -9.42439826E-12  2.38562062E-13 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366836E-01  2.50000000E-02 -1.62564654E-12 -4.05482471E-12 
