 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031170E-01  9.88366776E-01  2.50000000E-02  6.69517213E-09 -7.44030280E-09 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420233E-01  9.88366777E-01  2.50000000E-02  2.48860029E-08 -1.14921839E-08 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788160E+00  9.88366778E-01  2.50000000E-02  3.90511842E-08 -4.03586307E-11 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217173E-01  9.88366758E-01  2.50000000E-02  1.07687802E-07  3.54341840E-08 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999765E-01  9.88366761E-01  2.50000000E-02  5.08439699E-08 -1.41669054E-10 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849162E-01  9.88366777E-01  2.50000000E-02  1.19619493E-07 -7.80639336E-08 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985290E-01  9.88366743E-01  2.50000000E-02  9.25655950E-08  2.78321661E-08 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074134E-01  9.88366746E-01  2.50000000E-02  1.26026629E-08  8.50574263E-08 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625932E-02  9.88366851E-01  2.50000000E-02 -2.08544598E-06  2.34987438E-07 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429753E-01  9.88366922E-01  2.50000000E-02 -1.42387563E-06  5.78841673E-07 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441561E-01  9.88367073E-01  2.50000000E-02 -6.09854930E-07 -1.06751618E-07 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936198E+00  9.88367011E-01  2.50000000E-02 -3.52949661E-07 -1.04235264E-07 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49679074E-01  9.88366993E-01  2.50000000E-02 -2.90691873E-07  4.26638764E-09 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748992E+00  9.88367039E-01  2.50000000E-02 -1.07019799E-07 -8.02763913E-08 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322980E-01  9.88367043E-01  2.50000000E-02  1.47502700E-07 -1.31108077E-07 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401055E+00  9.88367022E-01  2.50000000E-02  3.37093209E-07 -4.43622294E-08 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394248E-01  9.88367006E-01  2.50000000E-02  3.57714726E-07  1.77271098E-08 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437879E+00  9.88366978E-01  2.50000000E-02  2.35233440E-07  2.05039451E-08 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889885E+00  9.88367026E-01  2.50000000E-02  2.48430064E-07 -1.07062147E-08 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077281E-01  9.88366975E-01  2.50000000E-02  4.78912931E-07 -1.21392140E-08 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806434E+00  9.88366959E-01  2.50000000E-02  4.52476170E-07 -2.66276082E-09 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280420E-01  9.88366959E-01  2.50000000E-02  3.80046460E-07  3.87356786E-08 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512649E+00  9.88366993E-01  2.50000000E-02  4.19346929E-07  2.21329746E-08 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765921E-01  9.88366914E-01  2.50000000E-02  8.42198980E-07  4.49697711E-08 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127217E+00  9.88366922E-01  2.50000000E-02  8.01377150E-07  2.09452756E-08 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129100E-01  9.88366924E-01  2.50000000E-02  6.60149280E-07  6.93990007E-08 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16530852E-01  9.88366894E-01  2.50000000E-02  2.94972140E-07 -5.32409178E-08 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52143228E-01  9.88366908E-01  2.50000000E-02  2.72019552E-07 -3.32849090E-08 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.37361669E+00  9.88366892E-01  2.50000000E-02  2.37835944E-07 -5.64237353E-09 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.22024428E+00  9.88366903E-01  2.50000000E-02  2.13754756E-07  2.76346341E-08 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  8.74588647E-01  9.88366898E-01  2.50000000E-02  2.06467290E-07  1.24302464E-08 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.19208308E+00  9.88366890E-01  2.50000000E-02  1.56303200E-07  5.60549739E-09 
      33  8.12500000E+02  1.25000000E+01 -8.01970376E-01  1.79033727E+00  9.88366892E-01  2.50000000E-02  1.12232966E-07  1.21671804E-08 
      34  8.37500000E+02  1.25000000E+01 -2.45458514E-01  1.23382541E+00  9.88366899E-01  2.50000000E-02  9.32128386E-08  3.43666397E-08 
      35  8.62500000E+02  1.25000000E+01  6.55172082E-01  3.33194813E-01  9.88366896E-01  2.50000000E-02  7.44623607E-08  2.00801186E-08 
      36  8.87500000E+02  1.25000000E+01 -7.59466771E-01  1.74783366E+00  9.88366893E-01  2.50000000E-02  2.09353278E-08  5.83258066E-10 
      37  9.12500000E+02  1.25000000E+01 -1.48571111E-01  1.13693800E+00  9.88366894E-01  2.50000000E-02  1.16169650E-08  4.31625521E-09 
      38  9.37500000E+02  1.25000000E+01 -9.38289085E-01  1.92665598E+00  9.88366895E-01  2.50000000E-02  9.42673969E-09  4.04965960E-10 
      39  9.62500000E+02  1.25000000E+01  6.10300161E-01  3.78066731E-01  9.88366893E-01  2.50000000E-02  1.13502823E-08  7.02406929E-09 
      40  9.87500000E+02  1.25000000E+01 -2.47851854E-01  1.23621875E+00  9.88366893E-01  2.50000000E-02  7.87131853E-10  1.17504295E-09 
      41  1.25000000E+01  3.75000000E+01 -5.98248598E-03  9.94349262E-01  9.88366776E-01  2.50000000E-02  7.73477927E-09 -2.16751791E-08 
      42  3.75000000E+01  3.75000000E+01 -2.67561176E-01  1.25592795E+00  9.88366777E-01  2.50000000E-02  2.68667616E-08 -3.38325676E-08 
      43  6.25000000E+01  3.75000000E+01 -5.60496726E-01  1.54886350E+00  9.88366778E-01  2.50000000E-02  4.66445177E-08 -2.76960482E-10 
      44  8.75000000E+01  3.75000000E+01  6.36443375E-01  3.51923389E-01  9.88366763E-01  2.50000000E-02  1.24784211E-07  1.43976977E-07 
      45  1.12500000E+02  3.75000000E+01  9.86166516E-01  2.20026879E-03  9.88366784E-01  2.50000000E-02 -2.59661323E-06 -8.61505049E-07 
      46  1.37500000E+02  3.75000000E+01 -5.10431734E-01  1.49879857E+00  9.88366835E-01  2.50000000E-02 -1.18972593E-07  6.61735932E-08 
      47  1.62500000E+02  3.75000000E+01 -4.55747954E-01  1.44411474E+00  9.88366783E-01  2.50000000E-02 -2.51620360E-07  2.30237300E-07 
      48  1.87500000E+02  3.75000000E+01 -9.26617771E-01  1.91498454E+00  9.88366773E-01  2.50000000E-02 -5.43450020E-07  3.60198506E-07 
      49  2.12500000E+02  3.75000000E+01 -6.05654847E-01  1.59402166E+00  9.88366810E-01  2.50000000E-02 -7.21320098E-07  7.29118255E-08 
      50  2.37500000E+02  3.75000000E+01 -4.45395756E-01  1.43376253E+00  9.88366778E-01  2.50000000E-02 -8.98357057E-07  1.03082158E-06 
      51  2.62500000E+02  3.75000000E+01  6.78131645E-01  3.10235442E-01  9.88367087E-01  2.50000000E-02 -1.67830126E-06 -1.15512185E-06 
      52  2.87500000E+02  3.75000000E+01  4.31827320E-01  5.56539679E-01  9.88366999E-01  2.50000000E-02 -1.18908421E-06 -6.77616206E-07 
      53  3.12500000E+02  3.75000000E+01  9.58920598E-01  2.94463754E-02  9.88366974E-01  2.50000000E-02 -6.53759952E-07  3.40323997E-07 
      54  3.37500000E+02  3.75000000E+01 -1.43604037E-01  1.13197106E+00  9.88367018E-01  2.50000000E-02  2.66726185E-07 -3.03583394E-07 
      55  3.62500000E+02  3.75000000E+01 -7.98346345E-01  1.78671340E+00  9.88367054E-01  2.50000000E-02  3.77730152E-07 -3.49050378E-07 
      56  3.87500000E+02  3.75000000E+01 -7.61416868E-01  1.74978390E+00  9.88367032E-01  2.50000000E-02  4.34948733E-07 -1.08321309E-07 
      57  4.12500000E+02  3.75000000E+01 -7.32299337E-01  1.72066638E+00  9.88367038E-01  2.50000000E-02  4.51601423E-07  1.57695116E-07 
      58  4.37500000E+02  3.75000000E+01  4.06542981E-03  9.84301588E-01  9.88367018E-01  2.50000000E-02  4.52306347E-07  2.21903789E-07 
      59  4.62500000E+02  3.75000000E+01  5.23048454E-01  4.65318600E-01  9.88367053E-01  2.50000000E-02  4.02174880E-07 -6.37328401E-08 
      60  4.87500000E+02  3.75000000E+01  8.70015014E-01  1.18351987E-01  9.88367001E-01  2.50000000E-02  7.73724045E-07 -1.17064708E-07 
      61  5.12500000E+02  3.75000000E+01  6.95774785E-02  9.18789472E-01  9.88366950E-01  2.50000000E-02  1.88091177E-07 -4.37167188E-08 
      62  5.37500000E+02  3.75000000E+01 -2.62874281E-01  1.25124124E+00  9.88366956E-01  2.50000000E-02  1.57302619E-07  1.06947843E-07 
      63  5.62500000E+02  3.75000000E+01  2.57640648E-02  9.62602914E-01  9.88366979E-01  2.50000000E-02  2.17579857E-07  8.40379204E-08 
      64  5.87500000E+02  3.75000000E+01  5.75245284E-01  4.13121634E-01  9.88366918E-01  2.50000000E-02  3.83854975E-07  1.60779793E-07 
      65  6.12500000E+02  3.75000000E+01 -6.05455565E-01  1.59382247E+00  9.88366902E-01  2.50000000E-02  1.66078194E-07  1.58059364E-08 
      66  6.37500000E+02  3.75000000E+01 -6.78783371E-01  1.66715028E+00  9.88366907E-01  2.50000000E-02  1.40397399E-07  8.09553807E-08 
      67  6.62500000E+02  3.75000000E+01 -9.13459003E-01  1.90182591E+00  9.88366908E-01  2.50000000E-02  1.30121887E-07 -1.06480064E-07 
      68  6.87500000E+02  3.75000000E+01 -6.50455217E-01  1.63882214E+00  9.88366918E-01  2.50000000E-02  1.44693854E-07 -6.71079023E-08 
      69  7.12500000E+02  3.75000000E+01  2.69543656E-01  7.18823242E-01  9.88366898E-01  2.50000000E-02  2.04354883E-07 -1.24554714E-08 
      70  7.37500000E+02  3.75000000E+01 -3.48170109E-01  1.33653700E+00  9.88366888E-01  2.50000000E-02  1.49951640E-07  4.00632909E-08 
      71  7.62500000E+02  3.75000000E+01 -8.77683744E-01  1.86605064E+00  9.88366891E-01  2.50000000E-02  1.22017361E-07  1.43982770E-08 
      72  7.87500000E+02  3.75000000E+01 -6.64986548E-01  1.65335344E+00  9.88366891E-01  2.50000000E-02  1.07704779E-07  1.88426245E-08 
      73  8.12500000E+02  3.75000000E+01 -8.83911452E-01  1.87227835E+00  9.88366894E-01  2.50000000E-02  9.81659014E-08  3.97963221E-08 
      74  8.37500000E+02  3.75000000E+01 -4.05378689E-01  1.39374558E+00  9.88366890E-01  2.50000000E-02  8.33800573E-08  7.78453683E-08 
      75  8.62500000E+02  3.75000000E+01 -9.46473242E-01  1.93484013E+00  9.88366891E-01  2.50000000E-02  6.18319636E-08  3.54631182E-08 
      76  8.87500000E+02  3.75000000E+01 -4.51688796E-02  1.03353577E+00  9.88366895E-01  2.50000000E-02  4.32596490E-08  1.02016517E-08 
      77  9.12500000E+02  3.75000000E+01  1.61625845E-01  8.26741052E-01  9.88366897E-01  2.50000000E-02  3.93940157E-08  2.96872186E-08 
      78  9.37500000E+02  3.75000000E+01  8.80252354E-01  1.08114540E-01  9.88366894E-01  2.50000000E-02  4.27166468E-08  4.78490732E-08 
      79  9.62500000E+02  3.75000000E+01 -4.78569655E-01  1.46693655E+00  9.88366892E-01  2.50000000E-02 -6.66900818E-10  1.82859374E-08 
      80  9.87500000E+02  3.75000000E+01 -4.41479578E-01  1.42984647E+00  9.88366893E-01  2.50000000E-02 -6.48467192E-10  2.69592372E-09 
      81  1.25000000E+01  6.25000000E+01 -2.22133777E-01  1.21050056E+00  9.88366779E-01  2.50000000E-02 -6.46647508E-09 -1.81529133E-08 
      82  3.75000000E+01  6.25000000E+01 -9.22805164E-01  1.91117194E+00  9.88366779E-01  2.50000000E-02 -1.68810380E-08 -4.19588449E-08 
      83  6.25000000E+01  6.25000000E+01  8.67690341E-01  1.20676445E-01  9.88366786E-01  2.50000000E-02 -2.03386980E-07  5.08513070E-08 
