 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031230E-01  9.88366836E-01  2.50000000E-02 -1.87120378E-13  3.43604608E-14 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420292E-01  9.88366836E-01  2.50000000E-02 -3.33235590E-13 -2.68336393E-14 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366836E-01  2.50000000E-02 -4.83290129E-13 -4.62229605E-15 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217250E-01  9.88366836E-01  2.50000000E-02 -3.29581270E-12  5.09882237E-13 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999840E-01  9.88366836E-01  2.50000000E-02 -3.24049900E-12  1.44494520E-15 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849220E-01  9.88366836E-01  2.50000000E-02 -4.85336320E-13 -2.57747895E-12 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985383E-01  9.88366836E-01  2.50000000E-02  1.37166271E-12 -1.35190615E-13 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074224E-01  9.88366836E-01  2.50000000E-02  1.17978088E-12  3.45775742E-13 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625780E-02  9.88366836E-01  2.50000000E-02  1.69253232E-12 -8.24476398E-13 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429667E-01  9.88366836E-01  2.50000000E-02  1.91697976E-12 -1.14749175E-12 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441324E-01  9.88366836E-01  2.50000000E-02  1.14798862E-12 -1.08239804E-13 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366836E-01  2.50000000E-02  1.00388274E-12  1.73128307E-14 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678917E-01  9.88366836E-01  2.50000000E-02  9.93165668E-13  3.16563129E-14 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366836E-01  2.50000000E-02  1.27336780E-12 -4.30069469E-13 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322773E-01  9.88366836E-01  2.50000000E-02  1.16209242E-12  3.17883025E-13 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401036E+00  9.88366836E-01  2.50000000E-02  8.73382624E-13 -1.62752511E-13 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394078E-01  9.88366836E-01  2.50000000E-02  2.07964518E-12 -1.19773911E-12 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437865E+00  9.88366836E-01  2.50000000E-02  3.04877081E-12 -5.49897807E-13 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889865E+00  9.88366836E-01  2.50000000E-02  3.80502587E-12 -3.88980553E-14 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077142E-01  9.88366836E-01  2.50000000E-02  6.63550630E-12 -2.41588434E-13 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806422E+00  9.88366836E-01  2.50000000E-02  6.33082154E-12 -1.53273714E-13 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280297E-01  9.88366836E-01  2.50000000E-02  5.51295036E-12  3.44209017E-13 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512633E+00  9.88366836E-01  2.50000000E-02  6.06732016E-12  3.30725927E-13 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765843E-01  9.88366836E-01  2.50000000E-02  1.15279074E-11  4.04721935E-13 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127208E+00  9.88366836E-01  2.50000000E-02  1.09998864E-11  1.56408924E-13 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129012E-01  9.88366836E-01  2.50000000E-02  1.06191453E-11  6.52140357E-14 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16530794E-01  9.88366836E-01  2.50000000E-02  5.13703997E-12 -1.10409618E-12 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52143155E-01  9.88366836E-01  2.50000000E-02  4.90575092E-12 -8.06734669E-13 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.37361663E+00  9.88366836E-01  2.50000000E-02  4.33117080E-12 -1.46895857E-13 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.22024422E+00  9.88366836E-01  2.50000000E-02  3.69423678E-12  5.89026249E-13 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  8.74588585E-01  9.88366836E-01  2.50000000E-02  3.20825113E-12  1.87432459E-13 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.19208302E+00  9.88366836E-01  2.50000000E-02  2.31693099E-12  3.56364199E-14 
      33  8.12500000E+02  1.25000000E+01 -8.01970376E-01  1.79033721E+00  9.88366836E-01  2.50000000E-02  1.74514271E-12  5.84877656E-14 
      34  8.37500000E+02  1.25000000E+01 -2.45458514E-01  1.23382535E+00  9.88366836E-01  2.50000000E-02  1.62148680E-12  4.41423969E-13 
