# time sum_mass_flux_outflow_002
  1.003942783395981E+01                    NaN
  1.993917391163432E+01                    NaN
  2.995811466075906E+01  0.000000000000000E+00
  4.003762367611274E+01                    NaN
  4.995436362159111E+01  0.000000000000000E+00
  5.996214497190416E+01  0.000000000000000E+00
  6.996696271998009E+01  0.000000000000000E+00
  8.000803141475369E+01  0.000000000000000E+00
  8.996843253449666E+01                    NaN
  9.997163387493153E+01  0.000000000000000E+00
  1.100250988308115E+02                    NaN
  1.199966363545190E+02                    NaN
  1.299833874366797E+02                    NaN
  1.399565957221258E+02                    NaN
  1.500283615135830E+02  0.000000000000000E+00
  1.599572163386083E+02  0.000000000000000E+00
  1.700078375435510E+02                    NaN
  1.799865820367158E+02  0.000000000000000E+00
  1.899481195283132E+02                    NaN
  1.999877243374703E+02  0.000000000000000E+00
  2.100127539626950E+02  0.000000000000000E+00
  2.200427616669016E+02                    NaN
  2.299645746104495E+02  0.000000000000000E+00
  2.400378782617584E+02                    NaN
  2.500146747650107E+02  0.000000000000000E+00
  2.600232966611092E+02  0.000000000000000E+00
  2.700660606524403E+02                    NaN
  2.800077602073064E+02  0.000000000000000E+00
  2.899794602499239E+02  0.000000000000000E+00
  2.999803464165660E+02                    NaN
  3.100120540162953E+02                    NaN
  3.200724168599749E+02  0.000000000000000E+00
  3.300007175856517E+02                    NaN
  3.399472874233902E+02                    NaN
  3.500671543010134E+02                    NaN
  3.600408318751451E+02                    NaN
  3.700226177252293E+02  0.000000000000000E+00
  3.800067679465087E+02  0.000000000000000E+00
  3.899897624184821E+02                    NaN
  3.999692552655184E+02                    NaN
  4.099407158108813E+02  0.000000000000000E+00
  4.200775510370098E+02                    NaN
  4.300214061896086E+02  0.000000000000000E+00
  4.399428817232622E+02  0.000000000000000E+00
  4.500257123070027E+02  0.000000000000000E+00
  4.600774950532888E+02                    NaN
  4.700897155763186E+02                    NaN
  4.800569927590710E+02  0.000000000000000E+00
  4.899739372084260E+02  0.000000000000000E+00
  5.000376232472004E+02  0.000000000000000E+00
  5.100455406376016E+02                    NaN
  5.199917348505940E+02                    NaN
  5.300820337385710E+02                    NaN
  5.401046089630474E+02  0.000000000000000E+00
  5.500534601239914E+02  0.000000000000000E+00
  5.599223453543453E+02                    NaN
  5.699285146801207E+02  0.000000000000000E+00
  5.800751305853007E+02                    NaN
  5.899042607004810E+02  0.000000000000000E+00
  6.001000185734921E+02  0.000000000000000E+00
  6.099650497892125E+02  0.000000000000000E+00
  6.199622550958220E+02  0.000000000000000E+00
  6.300941999499399E+02  0.000000000000000E+00
  6.401175303592321E+02                    NaN
  6.500248043016867E+02                    NaN
  6.600614371823368E+02                    NaN
  6.699738616945444E+02  0.000000000000000E+00
  6.800142133824929E+02                    NaN
  6.899219407939260E+02                    NaN
  6.999552803269303E+02                    NaN
  7.101165155035796E+02                    NaN
  7.201352539678687E+02  0.000000000000000E+00
  7.300040102547345E+02  0.000000000000000E+00
  7.399938040518085E+02  0.000000000000000E+00
  7.501067502923252E+02  0.000000000000000E+00
  7.600591508268240E+02                    NaN
  7.701315226161211E+02  0.000000000000000E+00
  7.800336726241201E+02  0.000000000000000E+00
  7.900533902531828E+02  0.000000000000000E+00
  7.998930013744252E+02                    NaN
  8.101502104182896E+02                    NaN
  8.199168636979518E+02                    NaN
  8.301048435045042E+02  0.000000000000000E+00
  8.400991416240444E+02  0.000000000000000E+00
  8.498909229555721E+02                    NaN
  8.601129817236013E+02                    NaN
  8.701281434244328E+02  0.000000000000000E+00
  8.799280480340458E+02  0.000000000000000E+00
  8.898352557977203E+02  0.000000000000000E+00
  8.998513843929506E+02  0.000000000000000E+00
  9.099780779303148E+02  0.000000000000000E+00
  9.198743347048429E+02                    NaN
  9.298760999765851E+02  0.000000000000000E+00
  9.399867650542794E+02                    NaN
  9.498514374109023E+02                    NaN
  9.601753677905840E+02  0.000000000000000E+00
  9.698875366590701E+02                    NaN
  9.800617022980034E+02                    NaN
  9.899725891799078E+02  0.000000000000000E+00
  9.999836911369941E+02                    NaN
  1.000000000000000E+03  0.000000000000000E+00
