# time h_mean u_mean v_mean w_mean
  1.464439306760493E+00  5.115666158772855E+00  1.421223950411205E+00 -1.448122855940823E-16  1.000000000000000E+00
  2.447399469342475E+00  5.115564031375608E+00  1.392890174330561E+00 -1.336326645642661E-16  1.000000000000000E+00
  3.432265670547366E+00  5.115422249345281E+00  1.366809286953067E+00 -1.273338357093708E-16  1.000000000000000E+00
  4.418349860472052E+00  5.115291612779978E+00  1.342901457902796E+00 -1.172011541741873E-16  1.000000000000000E+00
  5.406077733434828E+00  5.115250627421659E+00  1.321152461075204E+00 -9.460647995220091E-17  1.000000000000000E+00
  6.395527773876601E+00  5.115375876265992E+00  1.301568232378860E+00 -9.055551458992177E-17  1.000000000000000E+00
  7.386594615426658E+00  5.115718655288402E+00  1.284105812070051E+00 -6.909202207941888E-17  1.000000000000000E+00
  8.379081806562285E+00  5.116296973018311E+00  1.268650461028028E+00 -1.044793652635845E-16  1.000000000000000E+00
  9.372431957355305E+00  5.117099119141081E+00  1.255030130552345E+00 -1.179623060771868E-16  1.000000000000000E+00
  1.036636389415377E+01  5.118093350768468E+00  1.243031145917200E+00 -9.579745210242918E-17  1.000000000000000E+00
  1.136071149748533E+01  5.119237991247406E+00  1.232428471011885E+00 -8.719818078814558E-17  1.000000000000000E+00
  1.235531947366344E+01  5.120489388866739E+00  1.223007419652888E+00 -7.932204913843889E-17  1.000000000000000E+00
  1.335005216603553E+01  5.121807192921739E+00  1.214575788541997E+00 -7.098840637499616E-17  1.000000000000000E+00
  1.434479714798520E+01  5.123157149587380E+00  1.206969294834350E+00 -1.079800004077164E-16  1.000000000000000E+00
  1.533946540930021E+01  5.124512057355917E+00  1.200052210576690E+00 -1.371988310784266E-16  1.000000000000000E+00
  1.633398955127947E+01  5.125851554734869E+00  1.193715099872269E+00 -1.318554791159499E-16  1.000000000000000E+00
  1.732832099306481E+01  5.127161286697502E+00  1.187871162166255E+00 -1.585387120503015E-16  1.000000000000000E+00
  1.832242684642246E+01  5.128431830343389E+00  1.182452195968235E+00 -1.399563012698113E-16  1.000000000000000E+00
  1.931628685703119E+01  5.129657612204059E+00  1.177404776207515E+00 -1.346116807035066E-16  1.000000000000000E+00
