# time h_mean u_mean v_mean w_mean
  1.464439306760493E+00  3.152052577686201E+00  1.755258487938339E+00 -4.005804156482301E-18  1.000000000000000E+00
  2.447399469342475E+00  3.152227675507484E+00  1.701956998159134E+00  4.188147162519961E-18  1.000000000000000E+00
  3.432265670547366E+00  3.152466377694752E+00  1.656230183763522E+00  7.772913685047045E-18  1.000000000000000E+00
  4.418349860472052E+00  3.152749250241150E+00  1.616875719557270E+00 -7.158538428882297E-19  1.000000000000000E+00
  5.406077733434828E+00  3.153061692834088E+00  1.582877931694188E+00 -4.719629516989882E-18  1.000000000000000E+00
  6.395527773876601E+00  3.153392488973877E+00  1.553421989169422E+00 -4.254967978129198E-18  1.000000000000000E+00
  7.386594615426658E+00  3.153732988407946E+00  1.527841389104881E+00  4.026001750311575E-18  1.000000000000000E+00
  8.379081806562285E+00  3.154076529553005E+00  1.505583331313134E+00 -1.036282450149927E-17  1.000000000000000E+00
  9.372431957355305E+00  3.154417901590310E+00  1.486190310670249E+00 -9.686284735677187E-18  1.000000000000000E+00
  1.036636389415377E+01  3.154753233316534E+00  1.469269617595744E+00 -9.060906210982888E-18  1.000000000000000E+00
  1.136071149748533E+01  3.155079674335450E+00  1.454486262801861E+00 -1.651311722245753E-17  1.000000000000000E+00
  1.235531947366344E+01  3.155395150495674E+00  1.441554937276829E+00 -1.138400606367745E-17  1.000000000000000E+00
  1.335005216603553E+01  3.155698202429213E+00  1.430231564825274E+00 -1.462188903709119E-17  1.000000000000000E+00
  1.434479714798520E+01  3.155987855889006E+00  1.420306591906654E+00 -5.672676261070953E-18  1.000000000000000E+00
  1.533946540930021E+01  3.156263517180451E+00  1.411599568812219E+00 -5.449147890347545E-18  1.000000000000000E+00
  1.633398955127947E+01  3.156524888748150E+00  1.403954714310381E+00 -1.159002640106842E-18  1.000000000000000E+00
  1.732832099306481E+01  3.156771901102557E+00  1.397237246724151E+00  2.992440851699587E-18  1.000000000000000E+00
  1.832242684642246E+01  3.157004658044832E+00  1.391330324233716E+00  1.696165638260135E-17  1.000000000000000E+00
  1.931628685703119E+01  3.157223392722605E+00  1.386132477210277E+00  1.185433279249608E-17  1.000000000000000E+00
  2.030989062918185E+01  3.157428432500009E+00  1.381555442831988E+00  7.061204484732428E-18  1.000000000000000E+00
  2.130323523138890E+01  3.157620170990677E+00  1.377522331653775E+00  2.077477597939735E-17  1.000000000000000E+00
  2.229632320625100E+01  3.157799045902768E+00  1.373966070004751E+00  1.557700309558211E-17  1.000000000000000E+00
  2.328916096513134E+01  3.157965521593120E+00  1.370828072796839E+00  1.057190816510459E-17  1.000000000000000E+00
  2.428175752628421E+01  3.158120075431917E+00  1.368057109618880E+00  5.869410589732671E-18  1.000000000000000E+00
  2.527412354630729E+01  3.158263187246976E+00  1.365608333542442E+00  9.467151930094236E-18  1.000000000000000E+00
  2.626627059397449E+01  3.158395331253744E+00  1.363442447323760E+00 -9.621350559696064E-19  1.000000000000000E+00
  2.725821061686221E+01  3.158516969988388E+00  1.361524985956682E+00  3.162626633405386E-18  1.000000000000000E+00
  2.824995555892077E+01  3.158628549852266E+00  1.359825698013366E+00  2.975259958911877E-18  1.000000000000000E+00
  2.924151710897888E+01  3.158730497950996E+00  1.358318011057033E+00 -5.210509569073790E-18  1.000000000000000E+00
  3.023290653420990E+01  3.158823219966651E+00  1.356978568837245E+00 -8.379429864705037E-19  1.000000000000000E+00
  3.122413457450195E+01  3.158907098852462E+00  1.355786829893019E+00 -7.885072241754527E-19  1.000000000000000E+00
  3.221521138352060E+01  3.158982494178835E+00  1.354724718811383E+00 -4.805205988272556E-18  1.000000000000000E+00
  3.320614650386424E+01  3.159049741990759E+00  1.353776322747818E+00 -4.522329798647020E-18  1.000000000000000E+00
  3.419694886606482E+01  3.159109155062458E+00  1.352927626942731E+00 -1.945734531049174E-19  1.000000000000000E+00
  3.518762680352236E+01  3.159161023456213E+00  1.352166283908256E+00 -8.184665807726858E-18  1.000000000000000E+00
  3.617818807748986E+01  3.159205615309618E+00  1.351481411746396E+00 -7.583349994677991E-18  1.000000000000000E+00
  3.716863990786672E+01  3.159243177789793E+00  1.350863417719723E+00 -7.017734684633028E-18  1.000000000000000E+00
  3.815898900683126E+01  3.159273938164757E+00  1.350303843751552E+00 -2.667178604842386E-18  1.000000000000000E+00
  3.914924161329833E+01  3.159298104951871E+00  1.349795231001523E+00 -2.631393305828868E-18  1.000000000000000E+00
  4.013940352688626E+01  3.159315869111174E+00  1.349331001059557E+00  1.461097035292631E-18  1.000000000000000E+00
  4.112948014057652E+01  3.159327405258085E+00  1.348905351638210E+00 -2.682929840032897E-18  1.000000000000000E+00
  4.211947647159731E+01  3.159332872875439E+00  1.348513164930501E+00 -2.646305971193761E-18  1.000000000000000E+00
  4.310939719029929E+01  3.159332417509369E+00  1.348149927045539E+00 -8.698744139980733E-18  1.000000000000000E+00
  4.409924664694717E+01  3.159326171937559E+00  1.347811657144539E+00 -1.833441308886185E-17  1.000000000000000E+00
  4.508902889645066E+01  3.159314257301762E+00  1.347494845080838E+00 -2.525761633626313E-17  1.000000000000000E+00
  4.607874772111764E+01  3.159296784199667E+00  1.347196396504124E+00 -1.393910895227576E-17  1.000000000000000E+00
  4.706840665154536E+01  3.159273853734233E+00  1.346913584525275E+00 -1.312496871447984E-17  1.000000000000000E+00
  4.805800898578099E+01  3.159245558521723E+00  1.346644007157480E+00 -1.629556732175881E-17  1.000000000000000E+00
  4.904753623793327E+01  3.159211984422976E+00  1.346385555123684E+00 -1.128741271727372E-17  1.000000000000000E+00
  5.003697413004274E+01  3.159173210996413E+00  1.346136371902139E+00 -1.062874099623461E-17  1.000000000000000E+00
  5.102632746961847E+01  3.159129311619684E+00  1.345894821842365E+00 -2.015475365745557E-18  1.000000000000000E+00
  5.201560075773586E+01  3.159080354902095E+00  1.345659469850661E+00 -5.954433556831591E-18  1.000000000000000E+00
  5.300479821159750E+01  3.159026405639872E+00  1.345429059163292E+00 -5.727238958990890E-18  1.000000000000000E+00
  5.448846078533145E+01  3.158936255813954E+00  1.345090346165769E+00  2.522523645112024E-18  1.000000000000000E+00
  5.547748542307006E+01  3.158870092912275E+00  1.344867793879432E+00  2.495489891924902E-18  1.000000000000000E+00
  5.646644703513571E+01  3.158799149482924E+00  1.344646933797497E+00  2.350095878030059E-18  1.000000000000000E+00
  5.745534879425749E+01  3.158723486979854E+00  1.344427109936406E+00  2.213199851313919E-18  1.000000000000000E+00
  5.844419368422624E+01  3.158643169986232E+00  1.344207769033099E+00 -1.972271898748821E-18  1.000000000000000E+00
  5.943298451296899E+01  3.158558268036147E+00  1.343988453799295E+00 -1.857426429606443E-18  1.000000000000000E+00
  6.042172392460490E+01  3.158468857665222E+00  1.343768797946612E+00  6.244467379846903E-18  1.000000000000000E+00
  6.141041441056838E+01  3.158375024691440E+00  1.343548522811295E+00  5.880971096090468E-18  1.000000000000000E+00
  6.239905831987756E+01  3.158276866711001E+00  1.343327435379414E+00 -2.455821786378653E-18  1.000000000000000E+00
  6.338765786861976E+01  3.158174495775241E+00  1.343105427478962E+00 -6.250418396012179E-18  1.000000000000000E+00
  6.437621514871907E+01  3.158068041194355E+00  1.342882475867790E+00 -1.829036088068324E-18  1.000000000000000E+00
  6.536473213604566E+01  3.157957652393426E+00  1.342658642910004E+00 -9.718616169330261E-18  1.000000000000000E+00
