!===============================================!
!  Number of ratcurve
!===============================================!
1
!===============================================!
!  First rating curve ( Q = 37.31 h**2.38 )
!===============================================!
71	60.30d0
  0	0
0.1	0.155533967
0.2	0.8096114447
0.3	2.1250729112
0.4	4.2143250383
0.5	7.1676016267
0.6	11.0617853008
0.7	15.9646199496
0.8	21.9371102592
0.9	29.0350395208
1	37.31
1.1	46.810129189
1.2	57.5806568314
1.3	69.6643240508
1.4	83.1017125865
1.5	97.9315087993
1.6	114.1907190709
1.7	131.9148481642
1.8	151.1380488114
1.9	171.8932485769
2	194.2122585062
2.1	218.1258669902
2.2	243.6639214892
2.3	270.8554001839
2.4	299.7284751941
2.5	330.310568678
2.6	362.6284028733
2.7	396.7080449502
2.8	432.5749473909
2.9	470.2539844893
3	509.7694854686
3.1	551.1452646347
3.2	594.4046489199
3.3	639.5705031198
3.4	686.6652530811
3.5	735.7109070642
3.6	786.7290754727
3.7	839.7409891178
3.8	894.7675161642
3.9	951.8291778846
4	1010.9461633359
4.1	1072.138343057
4.2	1135.4252818757
4.3	1200.8262509021
4.4	1268.3602387801
4.5	1338.0459622567
4.6	1409.9018761269
4.7	1483.9461826027
4.8	1560.1968401517
4.9	1638.6715718469
5	1719.3878732622
5.1	1802.3630199494
5.2	1887.6140745243
5.3	1975.1578933926
5.4	2065.011133137
5.5	2157.1902565913
5.6	2251.7115386214
5.7	2348.591071632
5.8	2447.844770817
5.9	2549.48837917
6	2653.5374722695
6.1	2760.0074628528
6.2	2868.9136051908
6.3	2980.270999276
6.4	3094.0945948348
6.5	3210.3991951726
6.6	3329.1994608634
6.7	3450.5099132907
6.8	3574.3449380485
6.9	3700.7187882101
7	3829.6455874713
7.1	3961.1393331751
7.2	4095.2138992228
7.3	4231.8830388795
7.4	4371.1603874766
7.5	4513.0594650186
7.6	4657.5936786972
7.7	4804.776325319
7.8	4954.6205936484
7.9	5107.1395666726
8	5262.3462237896
8.1	5420.2534429246
8.2	5580.874002577
8.3	5744.2205838017
8.4	5910.305772127
8.5	6079.1420594125
8.6	6250.7418456492
8.7	6425.1174407039
8.8	6602.2810660114
8.9	6782.2448562149
9	6965.020860759
9.1	7150.6210454347
9.2	7339.0572938804
9.3	7530.3414090394
9.4	7724.4851145765
9.5	7921.500056254
9.6	8121.3978032706
9.7	8324.1898495622
9.8	8529.8876150687
9.9	8738.5024469652
10	8950.0456208617

